sequence_index,label,pass_id,case_id,session_key,session_id,command_status,markers_ok,memory_records_before,memory_records_after,trajectory_status,session_event_count,assistant_turns,user_turns,tool_call_count,tool_result_count,tool_error_count,action_length_assistant_plus_tool_calls,input_tokens,output_tokens,reasoning_tokens,total_tokens,run_log_path,session_file,trajectory_file
1,P1_C1,P1,C1,main-memory-P1-C1,6a1d4a60-1eb0-41a0-8dce-21ed936929f6,0,yes,0,14,success,34,8,2,21,20,0,29,607425,14417,4957,780434,runs/main_memory/M1_memory_on/P1/C1/memory_on/run.log,/Users/kaichengmao/.openclaw-main-m1-memory-on/agents/main/sessions/6a1d4a60-1eb0-41a0-8dce-21ed936929f6.jsonl,/Users/kaichengmao/.openclaw-main-m1-memory-on/agents/main/sessions/6a1d4a60-1eb0-41a0-8dce-21ed936929f6.trajectory.jsonl
2,P1_C2,P1,C2,main-memory-P1-C2,99c5ae9a-bd28-4397-aa97-be43b42a4ab5,0,yes,14,28,success,45,13,2,28,26,2,41,992935,22474,12050,1353841,runs/main_memory/M1_memory_on/P1/C2/memory_on/run.log,/Users/kaichengmao/.openclaw-main-m1-memory-on/agents/main/sessions/99c5ae9a-bd28-4397-aa97-be43b42a4ab5.jsonl,/Users/kaichengmao/.openclaw-main-m1-memory-on/agents/main/sessions/99c5ae9a-bd28-4397-aa97-be43b42a4ab5.trajectory.jsonl
3,P1_C3,P1,C3,main-memory-P1-C3,5c9569e5-8d9b-4413-ac10-57170a541443,0,yes,28,42,success,48,12,1,31,31,4,43,950904,17177,10160,1267089,runs/main_memory/M1_memory_on/P1/C3/memory_on/run.log,/Users/kaichengmao/.openclaw-main-m1-memory-on/agents/main/sessions/5c9569e5-8d9b-4413-ac10-57170a541443.jsonl,/Users/kaichengmao/.openclaw-main-m1-memory-on/agents/main/sessions/5c9569e5-8d9b-4413-ac10-57170a541443.trajectory.jsonl
4,P1_C4,P1,C4,main-memory-P1-C4,1c372bb0-a384-4b5e-88ec-32ae6305d773,0,no,42,42,success,46,11,1,30,30,3,41,773611,14185,7161,1127252,runs/main_memory/M1_memory_on/P1/C4/memory_on/run.log,/Users/kaichengmao/.openclaw-main-m1-memory-on/agents/main/sessions/1c372bb0-a384-4b5e-88ec-32ae6305d773.jsonl,/Users/kaichengmao/.openclaw-main-m1-memory-on/agents/main/sessions/1c372bb0-a384-4b5e-88ec-32ae6305d773.trajectory.jsonl
5,P1_C5,P1,C5,main-memory-P1-C5,1c44f5e2-3d9c-4ea9-a3ef-a6b175e58ca4,0,yes,42,55,success,62,17,1,40,40,0,57,1341629,27913,19290,1733318,runs/main_memory/M1_memory_on/P1/C5/memory_on/run.log,/Users/kaichengmao/.openclaw-main-m1-memory-on/agents/main/sessions/1c44f5e2-3d9c-4ea9-a3ef-a6b175e58ca4.jsonl,/Users/kaichengmao/.openclaw-main-m1-memory-on/agents/main/sessions/1c44f5e2-3d9c-4ea9-a3ef-a6b175e58ca4.trajectory.jsonl
6,P2_C1,P2,C1,main-memory-P2-C1,82391731-2068-45ba-b35e-7d591691616b,0,yes,55,69,success,44,11,1,29,28,3,40,900514,15536,9173,1170642,runs/main_memory/M1_memory_on/P2/C1/memory_on/run.log,/Users/kaichengmao/.openclaw-main-m1-memory-on/agents/main/sessions/82391731-2068-45ba-b35e-7d591691616b.jsonl,/Users/kaichengmao/.openclaw-main-m1-memory-on/agents/main/sessions/82391731-2068-45ba-b35e-7d591691616b.trajectory.jsonl
7,P2_C2,P2,C2,main-memory-P2-C2,1a71d889-ddd7-4fd1-baf5-bf7019d179ca,0,no,69,69,success,39,12,1,24,22,1,36,796280,30032,24022,1265992,runs/main_memory/M1_memory_on/P2/C2/memory_on/run.log,/Users/kaichengmao/.openclaw-main-m1-memory-on/agents/main/sessions/1a71d889-ddd7-4fd1-baf5-bf7019d179ca.jsonl,/Users/kaichengmao/.openclaw-main-m1-memory-on/agents/main/sessions/1a71d889-ddd7-4fd1-baf5-bf7019d179ca.trajectory.jsonl
8,P2_C3,P2,C3,main-memory-P2-C3-retry1,940ac4f2-0ef2-4aa4-a83b-72e30c6096b2,0,yes,83,97,success,56,16,1,35,35,0,51,1208650,31283,16263,1598973,runs/main_memory/M1_memory_on/P2/C3/memory_on/run.log,/Users/kaichengmao/.openclaw-main-m1-memory-on/agents/main/sessions/940ac4f2-0ef2-4aa4-a83b-72e30c6096b2.jsonl,/Users/kaichengmao/.openclaw-main-m1-memory-on/agents/main/sessions/940ac4f2-0ef2-4aa4-a83b-72e30c6096b2.trajectory.jsonl
9,P2_C4,P2,C4,main-memory-P2-C4-retry1,73410b86-cc9d-4351-9408-bc3ed53db914,0,no,97,97,success,63,18,1,40,40,3,58,1104979,34665,21474,1751996,runs/main_memory/M1_memory_on/P2/C4/memory_on/run.log,/Users/kaichengmao/.openclaw-main-m1-memory-on/agents/main/sessions/73410b86-cc9d-4351-9408-bc3ed53db914.jsonl,/Users/kaichengmao/.openclaw-main-m1-memory-on/agents/main/sessions/73410b86-cc9d-4351-9408-bc3ed53db914.trajectory.jsonl
10,P2_C5,P2,C5,main-memory-P2-C5-retry1,a0e66493-6151-440c-9209-de07eb3f7c61,0,yes,97,111,success,36,8,1,23,23,0,31,653252,13414,7242,850986,runs/main_memory/M1_memory_on/P2/C5/memory_on/run.log,/Users/kaichengmao/.openclaw-main-m1-memory-on/agents/main/sessions/a0e66493-6151-440c-9209-de07eb3f7c61.jsonl,/Users/kaichengmao/.openclaw-main-m1-memory-on/agents/main/sessions/a0e66493-6151-440c-9209-de07eb3f7c61.trajectory.jsonl
