condition,case_id,run_id,pass_id,openclaw_profile,markers_ok,memory_records_before,memory_records_after,prompt_file,raw_output_path,run_log_path,stderr_path,memory_context_path,manifest_path
memory_on,C1,P1_C1,P1,main-m1-memory-on,yes,0,14,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C1/memory_on/prompt.md,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C1/memory_on/output.raw.txt,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C1/memory_on/run.log,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C1/memory_on/stderr.log,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C1/memory_on/memory_context.md,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C1/memory_on/run_manifest.json
memory_on,C2,P1_C2,P1,main-m1-memory-on,yes,14,28,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C2/memory_on/prompt.md,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C2/memory_on/output.raw.txt,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C2/memory_on/run.log,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C2/memory_on/stderr.log,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C2/memory_on/memory_context.md,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C2/memory_on/run_manifest.json
memory_on,C3,P1_C3,P1,main-m1-memory-on,yes,28,42,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C3/memory_on/prompt.md,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C3/memory_on/output.raw.txt,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C3/memory_on/run.log,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C3/memory_on/stderr.log,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C3/memory_on/memory_context.md,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C3/memory_on/run_manifest.json
memory_on,C4,P1_C4,P1,main-m1-memory-on,no,42,42,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C4/memory_on/prompt.md,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C4/memory_on/output.raw.txt,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C4/memory_on/run.log,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C4/memory_on/stderr.log,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C4/memory_on/memory_context.md,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C4/memory_on/run_manifest.json
memory_on,C5,P1_C5,P1,main-m1-memory-on,yes,42,55,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C5/memory_on/prompt.md,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C5/memory_on/output.raw.txt,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C5/memory_on/run.log,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C5/memory_on/stderr.log,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C5/memory_on/memory_context.md,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P1/C5/memory_on/run_manifest.json
memory_on,C1,P2_C1,P2,main-m1-memory-on,yes,55,69,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C1/memory_on/prompt.md,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C1/memory_on/output.raw.txt,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C1/memory_on/run.log,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C1/memory_on/stderr.log,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C1/memory_on/memory_context.md,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C1/memory_on/run_manifest.json
memory_on,C2,P2_C2,P2,main-m1-memory-on,no,69,69,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C2/memory_on/prompt.md,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C2/memory_on/output.raw.txt,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C2/memory_on/run.log,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C2/memory_on/stderr.log,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C2/memory_on/memory_context.md,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C2/memory_on/run_manifest.json
memory_on,C3,P2_C3,P2,main-m1-memory-on,yes,83,97,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C3/memory_on/prompt.md,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C3/memory_on/output.raw.txt,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C3/memory_on/run.log,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C3/memory_on/stderr.log,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C3/memory_on/memory_context.md,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C3/memory_on/run_manifest.json
memory_on,C4,P2_C4,P2,main-m1-memory-on,no,97,97,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C4/memory_on/prompt.md,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C4/memory_on/output.raw.txt,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C4/memory_on/run.log,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C4/memory_on/stderr.log,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C4/memory_on/memory_context.md,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C4/memory_on/run_manifest.json
memory_on,C5,P2_C5,P2,main-m1-memory-on,yes,97,111,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C5/memory_on/prompt.md,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C5/memory_on/output.raw.txt,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C5/memory_on/run.log,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C5/memory_on/stderr.log,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C5/memory_on/memory_context.md,/Users/kaichengmao/Desktop/Project2/runs/main_memory/M1_memory_on/P2/C5/memory_on/run_manifest.json
