case_id,run_id,condition,selected_tag,paper_title,paper_id_or_url,year,full_text_available,topic_relevance,is_duplicate,is_tangential,valid_paper,selection_note
C1,R1,arxiv_off,D,,,,,,,,,
C1,R1,arxiv_off,E,,,,,,,,,
C1,R1,arxiv_off,F,,,,,,,,,
C1,R1,arxiv_on,D,,,,,,,,,
C1,R1,arxiv_on,E,,,,,,,,,
C1,R1,arxiv_on,F,,,,,,,,,
C1,R2,arxiv_off,D,,,,,,,,,
C1,R2,arxiv_off,E,,,,,,,,,
C1,R2,arxiv_off,F,,,,,,,,,
C1,R2,arxiv_on,D,,,,,,,,,
C1,R2,arxiv_on,E,,,,,,,,,
C1,R2,arxiv_on,F,,,,,,,,,
C1,R3,arxiv_off,D,,,,,,,,,
C1,R3,arxiv_off,E,,,,,,,,,
C1,R3,arxiv_off,F,,,,,,,,,
C1,R3,arxiv_on,D,,,,,,,,,
C1,R3,arxiv_on,E,,,,,,,,,
C1,R3,arxiv_on,F,,,,,,,,,
C2,R1,arxiv_off,D,,,,,,,,,
C2,R1,arxiv_off,E,,,,,,,,,
C2,R1,arxiv_off,F,,,,,,,,,
C2,R1,arxiv_on,D,,,,,,,,,
C2,R1,arxiv_on,E,,,,,,,,,
C2,R1,arxiv_on,F,,,,,,,,,
C2,R2,arxiv_off,D,,,,,,,,,
C2,R2,arxiv_off,E,,,,,,,,,
C2,R2,arxiv_off,F,,,,,,,,,
C2,R2,arxiv_on,D,,,,,,,,,
C2,R2,arxiv_on,E,,,,,,,,,
C2,R2,arxiv_on,F,,,,,,,,,
C2,R3,arxiv_off,D,,,,,,,,,
C2,R3,arxiv_off,E,,,,,,,,,
C2,R3,arxiv_off,F,,,,,,,,,
C2,R3,arxiv_on,D,,,,,,,,,
C2,R3,arxiv_on,E,,,,,,,,,
C2,R3,arxiv_on,F,,,,,,,,,
C3,R1,arxiv_off,D,,,,,,,,,
C3,R1,arxiv_off,E,,,,,,,,,
C3,R1,arxiv_off,F,,,,,,,,,
C3,R1,arxiv_on,D,,,,,,,,,
C3,R1,arxiv_on,E,,,,,,,,,
C3,R1,arxiv_on,F,,,,,,,,,
C3,R2,arxiv_off,D,,,,,,,,,
C3,R2,arxiv_off,E,,,,,,,,,
C3,R2,arxiv_off,F,,,,,,,,,
C3,R2,arxiv_on,D,,,,,,,,,
C3,R2,arxiv_on,E,,,,,,,,,
C3,R2,arxiv_on,F,,,,,,,,,
C3,R3,arxiv_off,D,,,,,,,,,
C3,R3,arxiv_off,E,,,,,,,,,
C3,R3,arxiv_off,F,,,,,,,,,
C3,R3,arxiv_on,D,,,,,,,,,
C3,R3,arxiv_on,E,,,,,,,,,
C3,R3,arxiv_on,F,,,,,,,,,
C4,R1,arxiv_off,D,,,,,,,,,
C4,R1,arxiv_off,E,,,,,,,,,
C4,R1,arxiv_off,F,,,,,,,,,
C4,R1,arxiv_on,D,,,,,,,,,
C4,R1,arxiv_on,E,,,,,,,,,
C4,R1,arxiv_on,F,,,,,,,,,
C4,R2,arxiv_off,D,,,,,,,,,
C4,R2,arxiv_off,E,,,,,,,,,
C4,R2,arxiv_off,F,,,,,,,,,
C4,R2,arxiv_on,D,,,,,,,,,
C4,R2,arxiv_on,E,,,,,,,,,
C4,R2,arxiv_on,F,,,,,,,,,
C4,R3,arxiv_off,D,,,,,,,,,
C4,R3,arxiv_off,E,,,,,,,,,
C4,R3,arxiv_off,F,,,,,,,,,
C4,R3,arxiv_on,D,,,,,,,,,
C4,R3,arxiv_on,E,,,,,,,,,
C4,R3,arxiv_on,F,,,,,,,,,
C5,R1,arxiv_off,D,,,,,,,,,
C5,R1,arxiv_off,E,,,,,,,,,
C5,R1,arxiv_off,F,,,,,,,,,
C5,R1,arxiv_on,D,,,,,,,,,
C5,R1,arxiv_on,E,,,,,,,,,
C5,R1,arxiv_on,F,,,,,,,,,
C5,R2,arxiv_off,D,,,,,,,,,
C5,R2,arxiv_off,E,,,,,,,,,
C5,R2,arxiv_off,F,,,,,,,,,
C5,R2,arxiv_on,D,,,,,,,,,
C5,R2,arxiv_on,E,,,,,,,,,
C5,R2,arxiv_on,F,,,,,,,,,
C5,R3,arxiv_off,D,,,,,,,,,
C5,R3,arxiv_off,E,,,,,,,,,
C5,R3,arxiv_off,F,,,,,,,,,
C5,R3,arxiv_on,D,,,,,,,,,
C5,R3,arxiv_on,E,,,,,,,,,
C5,R3,arxiv_on,F,,,,,,,,,
